Month-Year,Print Production Volume
Apr-2015,1023.33
May-2015,1023.33
Jun-2015,1023.33
Jul-2015,1023.33
Aug-2015,1023.33
Sep-2015,1023.33
Oct-2015,1023.33
Nov-2015,1023.33
Dec-2015,1023.33
Jan-2016,1023.33
Feb-2016,1023.33
Mar-2016,1023.33
Apr-2016,990.67
May-2016,990.67
Jun-2016,990.67
Jul-2016,990.67
Aug-2016,990.67
Sep-2016,990.67
Oct-2016,990.67
Nov-2016,990.67
Dec-2016,990.67
Jan-2017,990.67
Feb-2017,990.67
Mar-2017,990.67
Apr-2017,868.33
May-2017,868.33
Jun-2017,868.33
Jul-2017,868.33
Aug-2017,868.33
Sep-2017,868.33
Oct-2017,868.33
Nov-2017,868.33
Dec-2017,868.33
Jan-2018,868.33
Feb-2018,868.33
Mar-2018,868.33
Apr-2018,872.0
May-2018,872.0
Jun-2018,872.0
Jul-2018,872.0
Aug-2018,872.0
Sep-2018,872.0
Oct-2018,872.0
Nov-2018,872.0
Dec-2018,872.0
Jan-2019,872.0
Feb-2019,872.0
Mar-2019,872.0
Apr-2019,833.25
May-2019,833.25
Jun-2019,833.25
Jul-2019,833.25
Aug-2019,833.25
Sep-2019,833.25
Oct-2019,833.25
Nov-2019,833.25
Dec-2019,833.25
Jan-2020,833.25
Feb-2020,833.25
Mar-2020,833.25
Apr-2020,780.17
May-2020,780.17
Jun-2020,780.17
Jul-2020,780.17
Aug-2020,780.17
Sep-2020,780.17
Oct-2020,780.17
Nov-2020,780.17
Dec-2020,780.17
Jan-2021,780.17
Feb-2021,780.17
Mar-2021,780.17
Apr-2021,713.5
May-2021,713.5
Jun-2021,713.5
Jul-2021,713.5
Aug-2021,713.5
Sep-2021,713.5
Oct-2021,713.5
Nov-2021,713.5
Dec-2021,713.5
Jan-2022,713.5
Feb-2022,713.5
Mar-2022,713.5
Apr-2022,721.33
May-2022,721.33
Jun-2022,721.33
Jul-2022,721.33
Aug-2022,721.33
Sep-2022,721.33
Oct-2022,721.33
Nov-2022,721.33
Dec-2022,721.33
Jan-2023,721.33
Feb-2023,721.33
Mar-2023,721.33
Apr-2023,654.08
May-2023,654.08
Jun-2023,654.08
Jul-2023,654.08
Aug-2023,654.08
Sep-2023,654.08
Oct-2023,654.08
Nov-2023,654.08
Dec-2023,654.08
Jan-2024,654.08
Feb-2024,654.08
Mar-2024,654.08
Apr-2024,555.08
May-2024,555.08
Jun-2024,555.08
Jul-2024,555.08
Aug-2024,555.08
Sep-2024,555.08
Oct-2024,555.08
Nov-2024,555.08
Dec-2024,555.08
Jan-2025,555.08
Feb-2025,555.08
Mar-2025,555.08
Apr-2025,530.08
May-2025,530.08
Jun-2025,530.08
Jul-2025,530.08
Aug-2025,530.08
Sep-2025,530.08
Oct-2025,530.08
Nov-2025,530.08
Dec-2025,530.08
Jan-2026,530.08
Feb-2026,530.08
Mar-2026,530.08
